2017-12-17 12:38:55,222 [main] INFO  marytts.main Mary starting up...
2017-12-17 12:38:55,224 [main] INFO  marytts.main Specification version 5.2
2017-12-17 12:38:55,224 [main] INFO  marytts.main Implementation version unknown
2017-12-17 12:38:55,224 [main] INFO  marytts.main Running on a Java 1.8.0_144 implementation by Oracle Corporation, on a Windows 10 platform (amd64, 10.0)
2017-12-17 12:38:55,315 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.JTokeniser'
2017-12-17 12:38:55,318 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.Preprocess'
2017-12-17 12:38:55,441 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JPhonemiser(en_US.)'
2017-12-17 12:38:55,443 [main] INFO  marytts.JPhonemiser User dictionary '.\user-dictionaries\userdict-en_US.txt' for locale 'en_US' does not exist. Ignoring.
2017-12-17 12:38:55,490 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JPhonemiser(en_GB.)'
2017-12-17 12:38:55,490 [main] INFO  marytts.JPhonemiser User dictionary '.\user-dictionaries\userdict-en_GB.txt' for locale 'en_GB' does not exist. Ignoring.
2017-12-17 12:38:55,523 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.Prosody'
2017-12-17 12:38:55,526 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SimplePhoneme2AP(en_US)'
2017-12-17 12:38:55,526 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.PronunciationModel'
2017-12-17 12:38:55,528 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.OpenNLPPosTagger(en,en.pos)'
2017-12-17 12:38:55,529 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.Synthesis'
2017-12-17 12:38:55,529 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.TextToMaryXML'
2017-12-17 12:38:55,530 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SableParser'
2017-12-17 12:38:55,531 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SSMLParser'
2017-12-17 12:38:55,531 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.APMLParser'
2017-12-17 12:38:55,532 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.EmotionmlParser'
2017-12-17 12:38:55,532 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JTokeniser'
2017-12-17 12:38:55,532 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.DummyTokens2Words'
2017-12-17 12:38:55,533 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.ProsodyGeneric'
2017-12-17 12:38:55,533 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.PronunciationModel'
2017-12-17 12:38:55,533 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.TargetFeatureLister'
2017-12-17 12:38:55,533 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.HalfPhoneTargetFeatureLister'
2017-12-17 12:38:55,534 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.AcousticModeller'
2017-12-17 12:38:55,534 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.RealisedAcoustparamsExtractor'
2017-12-17 12:38:55,535 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.RealisedDurationsExtractor'
2017-12-17 12:38:55,535 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.HTSEngine'
2017-12-17 12:38:55,536 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.PraatTextGridGenerator'
2017-12-17 12:38:55,539 [main] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale en).
2017-12-17 12:38:55,570 [main] INFO  marytts.JTokeniser Starting power-on self test.
2017-12-17 12:38:55,571 [main] INFO  marytts.JTokeniser Power-on self test complete.
2017-12-17 12:38:55,571 [main] INFO  marytts.Preprocess Module started (TOKENS->WORDS, locale en).
2017-12-17 12:38:55,571 [main] INFO  marytts.Preprocess Starting power-on self test.
2017-12-17 12:38:55,572 [main] INFO  marytts.Preprocess Power-on self test complete.
2017-12-17 12:38:55,572 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale en_US).
